Employee ID,Age,Gender,Years at Company,Job Role,Monthly Income,Work-Life Balance,Job Satisfaction,Performance Rating,Number of Promotions,Overtime,Distance from Home,Education Level,Marital Status,Number of Dependents,Job Level,Company Size,Company Tenure,Remote Work,Leadership Opportunities,Innovation Opportunities,Company Reputation,Employee Recognition,Attrition
30548,57,Female,2,Finance,6529,Poor,High,Average,1,No,25,Master’s Degree,Married,1,Entry,Medium,49,No,No,No,Fair,Medium,Left
23263,31,Male,15,Education,4738,Good,High,Average,0,No,99,Master’s Degree,Married,0,Senior,Large,78,Yes,No,Yes,Fair,Low,Stayed
4277,36,Female,11,Finance,8481,Good,Low,Average,1,No,57,Bachelor’s Degree,Married,0,Senior,Large,85,No,No,No,Poor,Low,Stayed
21907,47,Male,28,Media,6733,Good,Low,Average,0,No,8,Master’s Degree,Single,1,Mid,Large,75,No,No,No,Poor,Medium,Left
63317,23,Male,6,Education,4596,Good,High,Below Average,0,No,3,Master’s Degree,Single,0,Mid,Medium,77,No,Yes,No,Poor,Low,Stayed
20347,19,Female,3,Technology,10291,Poor,High,High,2,Yes,54,High School,Divorced,1,Entry,Medium,82,No,No,Yes,Good,Very High,Left
39546,18,Female,7,Education,4035,Excellent,High,Low,2,No,62,PhD,Single,2,Mid,Medium,80,Yes,No,No,Good,Low,Stayed
57053,25,Female,11,Education,5559,Fair,Low,Average,0,No,89,Bachelor’s Degree,Single,3,Mid,Medium,20,Yes,No,No,Excellent,High,Stayed
6520,52,Female,26,Technology,8059,Good,Very High,High,2,No,39,Bachelor’s Degree,Married,2,Senior,Small,95,No,No,No,Fair,High,Stayed
32378,54,Male,40,Media,5755,Good,Medium,Average,2,Yes,84,Associate Degree,Single,1,Senior,Small,86,Yes,No,No,Fair,Low,Left
40348,33,Male,12,Finance,8689,Good,High,High,3,No,79,Associate Degree,Single,0,Senior,Medium,35,No,No,No,Good,Low,Stayed
59237,39,Male,4,Finance,8633,Fair,Medium,High,2,No,95,Master’s Degree,Married,3,Senior,Large,9,No,No,No,Poor,Low,Stayed
68188,40,Female,26,Education,5045,Good,High,Average,2,Yes,8,Bachelor’s Degree,Married,1,Entry,Small,90,No,No,No,Poor,High,Stayed
38114,27,Male,15,Technology,8126,Good,Low,Average,0,Yes,34,Master’s Degree,Married,0,Entry,Small,22,No,No,No,Good,High,Left
4393,32,Female,4,Healthcare,8021,Poor,High,Average,1,No,1,Bachelor’s Degree,Single,3,Mid,Small,57,No,No,Yes,Good,Low,Left
73273,45,Female,37,Healthcare,6863,Poor,High,Average,1,No,64,Associate Degree,Married,3,Senior,Medium,80,No,No,No,Good,Low,Stayed
49249,32,Male,1,Media,5446,Good,High,Average,0,No,54,Bachelor’s Degree,Married,0,Mid,Medium,36,No,No,No,Good,Medium,Stayed
26865,45,Male,17,Media,5982,Fair,Medium,Average,2,No,30,PhD,Single,0,Senior,Medium,91,No,Yes,No,Excellent,Medium,Stayed
58001,58,Female,13,Education,5354,Fair,Very High,Below Average,0,No,43,Associate Degree,Married,4,Mid,Large,81,No,No,Yes,Poor,Medium,Left
64065,38,Female,17,Healthcare,9233,Poor,Very High,Average,2,Yes,4,Bachelor’s Degree,Divorced,0,Senior,Medium,53,No,No,No,Good,Medium,Stayed
50250,28,Male,13,Media,6138,Fair,Low,Average,1,No,98,High School,Single,0,Senior,Large,19,No,No,No,Good,Low,Left
49741,31,Male,18,Education,5846,Excellent,High,High,2,Yes,96,Associate Degree,Divorced,5,Entry,Large,22,No,No,No,Good,Medium,Stayed
56513,35,Female,5,Finance,10612,Good,High,Average,2,Yes,33,High School,Married,0,Entry,Medium,79,No,No,No,Poor,High,Left
36141,30,Male,11,Finance,5582,Good,Very High,High,2,No,96,Master’s Degree,Married,0,Mid,Large,66,No,No,No,Poor,Low,Stayed
25594,30,Female,8,Finance,11166,Good,High,High,1,No,33,Master’s Degree,Single,0,Senior,Medium,51,No,No,No,Good,Low,Left
336,59,Male,32,Media,6049,Fair,High,Average,0,No,8,Master’s Degree,Married,3,Senior,Small,59,No,No,No,Good,Low,Stayed
44711,37,Male,3,Technology,4909,Fair,Very High,Below Average,3,Yes,17,Associate Degree,Divorced,0,Entry,Medium,62,No,No,No,Excellent,Medium,Stayed
50892,47,Male,29,Healthcare,7176,Good,High,Average,0,No,10,High School,Single,1,Entry,Small,88,Yes,No,No,Good,Low,Stayed
27659,32,Male,19,Technology,8753,Good,High,Below Average,2,Yes,48,Associate Degree,Single,0,Entry,Medium,20,No,No,No,Good,Medium,Left
38902,47,Male,18,Technology,6864,Good,Very High,Average,2,Yes,9,High School,Single,3,Mid,Large,53,No,No,No,Good,Low,Left
65633,45,Male,13,Education,4252,Fair,High,High,0,No,9,Bachelor’s Degree,Married,2,Senior,Small,19,No,Yes,No,Good,High,Stayed
71088,53,Female,38,Healthcare,8634,Excellent,High,Average,3,No,61,Associate Degree,Married,0,Mid,Small,47,No,No,Yes,Poor,Medium,Stayed
45431,49,Female,14,Healthcare,6311,Poor,High,Average,1,No,34,Associate Degree,Married,3,Mid,Medium,72,No,No,No,Fair,Low,Left
36545,32,Male,6,Media,6109,Fair,High,Average,2,No,16,Bachelor’s Degree,Married,2,Entry,Medium,72,No,Yes,No,Good,Low,Left
56288,53,Male,38,Healthcare,8926,Fair,Medium,High,0,No,97,Bachelor’s Degree,Married,2,Entry,Small,95,No,No,No,Good,Medium,Left
41853,50,Female,11,Media,6359,Good,Medium,Average,0,No,50,Master’s Degree,Married,3,Senior,Medium,84,No,No,Yes,Fair,Low,Stayed
34791,23,Female,15,Finance,6469,Good,High,Average,1,Yes,95,High School,Single,2,Mid,Large,56,No,No,No,Fair,High,Left
45657,57,Male,30,Media,6497,Poor,High,High,1,No,53,Bachelor’s Degree,Single,1,Entry,Large,33,No,No,Yes,Poor,High,Left
44456,36,Female,6,Technology,10261,Excellent,High,Average,3,No,8,Bachelor’s Degree,Single,2,Senior,Small,29,Yes,Yes,No,Good,Low,Stayed
20041,33,Male,18,Technology,7728,Good,Very High,Average,0,No,90,Associate Degree,Single,4,Entry,Small,82,No,No,No,Good,High,Stayed
20424,50,Male,7,Education,5711,Good,Very High,High,2,Yes,2,Associate Degree,Married,6,Entry,Medium,56,No,No,No,Good,Medium,Stayed
42694,33,Male,3,Education,5642,Fair,High,High,1,Yes,40,Bachelor’s Degree,Single,1,Senior,Medium,65,No,No,No,Poor,Low,Stayed
44096,36,Male,6,Finance,2617,Excellent,Low,High,0,No,75,Master’s Degree,Married,0,Senior,Small,9,No,No,Yes,Poor,Medium,Stayed
71993,31,Male,5,Media,5341,Fair,Very High,High,0,No,65,Master’s Degree,Divorced,0,Mid,Large,80,No,Yes,No,Poor,Low,Stayed
22510,32,Female,18,Technology,9792,Good,High,High,2,Yes,8,Associate Degree,Single,0,Mid,Small,87,No,No,No,Good,Medium,Left
16291,22,Male,1,Healthcare,8557,Excellent,Medium,Average,2,No,79,Master’s Degree,Married,4,Mid,Large,27,No,No,No,Poor,Low,Left
21545,54,Male,13,Healthcare,9105,Fair,Low,Average,2,No,17,Bachelor’s Degree,Single,1,Entry,Medium,87,Yes,No,No,Good,Medium,Stayed
53898,23,Male,9,Technology,8852,Fair,Medium,Average,1,Yes,93,Master’s Degree,Single,1,Mid,Small,73,No,Yes,No,Good,Medium,Left
30305,55,Male,6,Media,6841,Fair,Medium,Below Average,2,Yes,21,Bachelor’s Degree,Married,2,Mid,Medium,35,No,No,No,Good,Medium,Left
41297,36,Male,4,Finance,9015,Good,High,Average,1,No,45,High School,Divorced,0,Entry,Medium,63,No,No,No,Excellent,Low,Stayed
12901,55,Female,21,Healthcare,8609,Excellent,Medium,Average,1,No,98,Associate Degree,Single,0,Senior,Large,22,No,Yes,Yes,Poor,Low,Left
31508,29,Male,12,Education,4888,Excellent,High,Average,1,No,24,Bachelor’s Degree,Married,2,Mid,Small,35,No,No,No,Good,Low,Stayed
24546,56,Female,10,Technology,9222,Excellent,Low,High,1,Yes,34,Master’s Degree,Divorced,0,Senior,Medium,59,Yes,No,Yes,Poor,High,Stayed
54014,52,Male,39,Finance,10504,Excellent,High,Below Average,0,Yes,84,PhD,Married,2,Entry,Large,100,No,No,No,Good,High,Stayed
69271,26,Male,18,Healthcare,7082,Good,High,Average,0,No,81,Bachelor’s Degree,Single,3,Mid,Medium,76,No,No,No,Fair,Very High,Stayed
58083,59,Male,25,Finance,7315,Poor,Medium,High,0,Yes,51,Master’s Degree,Married,0,Entry,Medium,98,No,No,No,Good,Low,Stayed
59842,30,Female,20,Education,5165,Fair,Low,Low,0,No,37,Bachelor’s Degree,Married,1,Mid,Small,92,No,No,No,Good,Low,Left
11944,27,Male,1,Education,4124,Good,High,High,0,No,49,Bachelor’s Degree,Married,5,Entry,Medium,24,Yes,No,No,Good,Low,Stayed
57464,33,Female,12,Healthcare,9530,Fair,High,Average,1,No,15,Associate Degree,Married,0,Mid,Medium,63,Yes,No,No,Good,Medium,Stayed
51734,46,Female,5,Technology,9256,Poor,High,Average,4,No,47,PhD,Single,1,Entry,Medium,66,No,No,No,Poor,High,Left
60396,18,Male,6,Media,6760,Fair,High,High,0,No,92,Associate Degree,Divorced,2,Senior,Medium,49,No,No,Yes,Excellent,High,Stayed
72521,37,Male,19,Healthcare,10236,Good,High,Average,0,No,26,Master’s Degree,Single,1,Senior,Medium,28,No,No,Yes,Good,Low,Stayed
25234,56,Female,5,Technology,10062,Excellent,Medium,Below Average,0,No,39,High School,Married,0,Senior,Small,59,No,No,Yes,Good,High,Stayed
17955,26,Male,6,Finance,9129,Fair,Medium,Average,0,No,2,Bachelor’s Degree,Divorced,0,Entry,Medium,74,No,No,No,Poor,Low,Left
41368,36,Male,18,Technology,7484,Fair,Medium,Below Average,2,Yes,30,Bachelor’s Degree,Married,5,Mid,Large,83,No,No,No,Poor,Low,Stayed
49671,18,Male,2,Education,4182,Good,High,High,1,No,61,Associate Degree,Married,0,Mid,Large,4,No,No,No,Poor,Low,Left
59757,55,Female,19,Finance,9470,Poor,High,Low,0,Yes,22,High School,Married,4,Senior,Medium,64,No,No,No,Poor,Medium,Stayed
30915,40,Female,25,Healthcare,7651,Good,Low,Average,0,No,62,Associate Degree,Married,5,Entry,Large,45,Yes,No,No,Good,High,Stayed
13130,44,Male,26,Healthcare,8077,Good,High,Average,0,No,27,Associate Degree,Divorced,1,Mid,Medium,41,Yes,No,No,Fair,Medium,Stayed
22039,41,Male,31,Media,5266,Fair,Very High,Average,0,No,98,Bachelor’s Degree,Divorced,0,Senior,Medium,38,No,No,No,Excellent,Low,Left
